;Pays;Mois;Valeurs;Masse;Longitude;Latitude
0;Afghanistan;1;1784490;438779;67.709953;33.93911
1;Afghanistan;2;1502234;278574;67.709953;33.93911
2;Afghanistan;3;2201958;317914;67.709953;33.93911
3;Afghanistan;4;548588;163623;67.709953;33.93911
4;Afghanistan;5;763001;234299;67.709953;33.93911
5;Afghanistan;6;949848;182960;67.709953;33.93911
6;Afghanistan;7;950971;93272;67.709953;33.93911
7;Afghanistan;8;1127886;80421;67.709953;33.93911
8;Afghanistan;9;2362478;227964;67.709953;33.93911
9;Afghanistan;10;1367585;148123;67.709953;33.93911
10;Afghanistan;11;1239385;235668;67.709953;33.93911
11;Afghanistan;12;2484360;638422;67.709953;33.93911
12;Afrique du Sud;1;227019641;49480796;22.937506;-30.559482
13;Afrique du Sud;2;121153450;25914102;22.937506;-30.559482
14;Afrique du Sud;3;144315166;31618245;22.937506;-30.559482
15;Afrique du Sud;4;120347903;32297941;22.937506;-30.559482
16;Afrique du Sud;5;110726126;21513128;22.937506;-30.559482
17;Afrique du Sud;6;147442885;30697709;22.937506;-30.559482
18;Afrique du Sud;7;154692228;32151988;22.937506;-30.559482
19;Afrique du Sud;8;135235117;25357428;22.937506;-30.559482
20;Afrique du Sud;9;109057394;23443552;22.937506;-30.559482
21;Afrique du Sud;10;144263207;29602825;22.937506;-30.559482
22;Afrique du Sud;11;128702900;31647130;22.937506;-30.559482
23;Afrique du Sud;12;141023192;25112445;22.937506;-30.559482
24;Albanie;1;8272061;7083743;20.168331;41.153332
25;Albanie;2;4017129;5779822;20.168331;41.153332
26;Albanie;3;4357122;883135;20.168331;41.153332
27;Albanie;4;3806969;654763;20.168331;41.153332
28;Albanie;5;3182566;864662;20.168331;41.153332
29;Albanie;6;2774518;661498;20.168331;41.153332
30;Albanie;7;6542096;6101866;20.168331;41.153332
31;Albanie;8;1862113;443896;20.168331;41.153332
32;Albanie;9;3519722;3184682;20.168331;41.153332
33;Albanie;10;18277555;24811702;20.168331;41.153332
34;Albanie;11;3517795;750270;20.168331;41.153332
35;Albanie;12;4810649;5914774;20.168331;41.153332
36;Algérie;1;622900639;814365249;1.659626;28.033886
37;Algérie;2;356390304;451321413;1.659626;28.033886
38;Algérie;3;440593769;278403912;1.659626;28.033886
39;Algérie;4;426861128;574371055;1.659626;28.033886
40;Algérie;5;381901133;463420373;1.659626;28.033886
41;Algérie;6;430361659;506195255;1.659626;28.033886
42;Algérie;7;484075314;658492713;1.659626;28.033886
43;Algérie;8;485212219;937445869;1.659626;28.033886
44;Algérie;9;432229236;722010562;1.659626;28.033886
45;Algérie;10;508801724;671756735;1.659626;28.033886
46;Algérie;11;506495363;692951234;1.659626;28.033886
47;Algérie;12;490672324;643630284;1.659626;28.033886
48;Allemagne;1;11926229325;4713744262;10.451526;51.165691
49;Allemagne;2;6022448704;2380972902;10.451526;51.165691
50;Allemagne;3;6303714299;2592970137;10.451526;51.165691
51;Allemagne;4;5765817821;2554180907;10.451526;51.165691
52;Allemagne;5;5688732214;2528550849;10.451526;51.165691
53;Allemagne;6;6021962023;2566777815;10.451526;51.165691
54;Allemagne;7;5947214882;2522117384;10.451526;51.165691
55;Allemagne;8;4868306580;2218779812;10.451526;51.165691
56;Allemagne;9;5848897004;2342330210;10.451526;51.165691
57;Allemagne;10;6355797562;2434160344;10.451526;51.165691
58;Allemagne;11;6059985174;2336611552;10.451526;51.165691
59;Allemagne;12;5092649129;1909709886;10.451526;51.165691
60;Andorre;1;39581923;16709542;1.601554;42.546245
61;Andorre;2;19180527;7804384;1.601554;42.546245
62;Andorre;3;22238242;8891021;1.601554;42.546245
63;Andorre;4;16431620;7343674;1.601554;42.546245
64;Andorre;5;15204255;6586232;1.601554;42.546245
65;Andorre;6;19826808;7376753;1.601554;42.546245
66;Andorre;7;24840783;7675087;1.601554;42.546245
67;Andorre;8;21413375;7787601;1.601554;42.546245
68;Andorre;9;20038290;6760014;1.601554;42.546245
69;Andorre;10;21229778;8036854;1.601554;42.546245
70;Andorre;11;22019393;7116056;1.601554;42.546245
71;Andorre;12;22166123;9392557;1.601554;42.546245
72;Angola;1;81836913;105541221;17.873887;-11.202692
73;Angola;2;9829293;5656381;17.873887;-11.202692
74;Angola;3;47357735;40873236;17.873887;-11.202692
75;Angola;4;16242935;8673019;17.873887;-11.202692
76;Angola;5;16164232;40537181;17.873887;-11.202692
